Cohort,Planet,"M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22"
May-13,Saturn,"490 ","390 ","330 ","300 ","300 ","250 ","270 ","270 ","250 ","260 ","200 ","180 ","190 ","200 ","200 ","150 ","150 ","170 ","170 ","0 ","0 ","0 ","0 "
May-13,Saturn,"231 ","187 ","176 ","143 ","143 ","132 ","154 ","121 ","121 ","77 ","88 ","110 ","88 ","88 ","88 ","77 ","88 ","88 ","88 ","0 ","0 ","0 ","0 "
May-13,Saturn,"80 ","70 ","60 ","50 ","60 ","60 ","50 ","50 ","50 ","60 ","60 ","60 ","60 ","60 ","60 ","60 ","60 ","60 ","50 ","0 ","0 ","0 ","0 "
May-13,Saturn,"345 ","330 ","315 ","300 ","255 ","270 ","225 ","210 ","210 ","195 ","195 ","150 ","180 ","180 ","180 ","180 ","150 ","135 ","105 ","0 ","0 ","0 ","0 "
May-13,Saturn,"99 ","88 ","77 ","55 ","66 ","77 ","77 ","77 ","66 ","66 ","77 ","77 ","77 ","55 ","66 ","66 ","66 ","66 ","55 ","0 ","0 ","0 ","0 "
May-13,Saturn,"135 ","108 ","108 ","90 ","90 ","54 ","63 ","63 ","54 ","72 ","90 ","81 ","72 ","72 ","54 ","63 ","63 ","54 ","63 ","0 ","0 ","0 ","0 "
May-13,Saturn,"572 ","455 ","468 ","442 ","403 ","390 ","390 ","364 ","364 ","338 ","364 ","338 ","338 ","338 ","325 ","299 ","286 ","299 ","260 ","0 ","0 ","0 ","0 "
May-13,Saturn,"39 ","39 ","39 ","39 ","39 ","39 ","39 ","39 ","39 ","39 ","26 ","26 ","26 ","26 ","26 ","26 ","26 ","13 ","13 ","0 ","0 ","0 ","0 "
May-13,Saturn,"22 ","11 ","22 ","22 ","22 ","22 ","22 ","22 ","22 ","22 ","11 ","22 ","22 ","11 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 "
May-13,Saturn,"66 ","66 ","44 ","66 ","66 ","66 ","66 ","55 ","66 ","66 ","66 ","66 ","66 ","66 ","55 ","55 ","55 ","55 ","44 ","0 ","0 ","0 ","0 "
May-13,Saturn,"117 ","104 ","117 ","117 ","78 ","91 ","91 ","91 ","91 ","91 ","78 ","91 ","78 ","78 ","65 ","78 ","78 ","78 ","65 ","0 ","0 ","0 ","0 "
